Model,RMSE,MAE,MAPE,MASE,R2,ME (Bias),Samples
XGBoost,0.4990363009012828,0.3479704422941549,47.78959709290729,0.8050673420071731,0.6077349223098392,-0.09849658137827402,14260
Linear Regression,0.7534869549326022,0.5961274502522355,78.91899097903409,1.3792054828219589,0.10573374106192113,-0.2233923892888434,14260
Temporal Fusion Transformer,0.8710691858244809,0.7122679286298462,101.5101288319533,1.6479090704326107,-0.19514519815174136,-0.41110136476322146,14260
SARIMA,0.884983850254006,0.7368702961273574,102.01107922865029,1.7048293148008424,-0.23363323279557746,-0.3790307534830199,14260
Persistence,0.9314393392147157,0.6706732117812061,66.6439645171214,1.5516751836860805,-0.36654683935546317,0.0038849929873772744,14260
