,MAE,RMSE,MAPE,SMAPE,R2,ME,MASE,Theil_U,Direction_Accuracy_%,CV_RMSE_%,Std_Error,MSE
Linear Regression,0.48349471826230456,0.6126402004836086,66.8190754134372,69.51119100697696,0.41145714754333895,-0.35426247302674735,1.2553529346516878,1.0767001065518587,73.50069735006973,40.50397086818605,0.49982608520721417,0.37532801524859616
Persistence (Naive),0.6966550522648084,0.8487375334559348,96.11791610904493,94.34186946839527,-0.1295720145694057,-0.28745644599303144,1.8088056213803232,1.491635370948885,13.668061366806135,56.11326240540274,0.7985763534903344,0.7203554006968641
SARIMA,0.7549178404606239,0.901934292156222,106.41151261220139,99.43849533125243,-0.27560703689892785,-0.4173941618269645,1.9600799980797743,1.5851273679082734,43.30543933054393,59.630302199685715,0.7995421071088821,0.8134854673673453
XGBoost,0.38604392261039916,0.5361563716931134,56.91828429356665,60.27106571587408,0.5492351421606578,-0.1632941527649085,1.0023302279188453,0.9422816558148446,68.41004184100419,35.447334410486874,0.5106845157040839,0.2874636549071239
Temporal Fusion Transformer (TFT),0.8368112295261325,1.0859057672466528,61.84825023850658,133.46875499316187,-0.8490616311528021,0.6761335726759581,2.172709221127843,1.9084527172340384,42.74755927475592,71.79335526371557,0.8497262660645406,1.1791913353395418
