,0,1,2,3,4,5,6,7,8,9
count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mean,-0.08024781942367554,-0.6558968424797058,-3.4821314811706543,-4.354866981506348,-3.0692670345306396,-2.1022984981536865,-1.343749761581421,-1.310711145401001,-0.963146448135376,-0.9643226861953735
std,,,,,,,,,,
min,-0.08024781942367554,-0.6558968424797058,-3.4821314811706543,-4.354866981506348,-3.0692670345306396,-2.1022984981536865,-1.343749761581421,-1.310711145401001,-0.963146448135376,-0.9643226861953735
25%,-0.08024781942367554,-0.6558968424797058,-3.4821314811706543,-4.354866981506348,-3.0692670345306396,-2.1022984981536865,-1.343749761581421,-1.310711145401001,-0.963146448135376,-0.9643226861953735
50%,-0.08024781942367554,-0.6558968424797058,-3.4821314811706543,-4.354866981506348,-3.0692670345306396,-2.1022984981536865,-1.343749761581421,-1.310711145401001,-0.963146448135376,-0.9643226861953735
75%,-0.08024781942367554,-0.6558968424797058,-3.4821314811706543,-4.354866981506348,-3.0692670345306396,-2.1022984981536865,-1.343749761581421,-1.310711145401001,-0.963146448135376,-0.9643226861953735
max,-0.08024781942367554,-0.6558968424797058,-3.4821314811706543,-4.354866981506348,-3.0692670345306396,-2.1022984981536865,-1.343749761581421,-1.310711145401001,-0.963146448135376,-0.9643226861953735
